City,PM2.5,PM10,NO2,SO2,CO,O3,AQI
Mumbai,485.1,549.4,40.5,10.6,7.54,52.5,337.9
Chennai,325.4,129.0,57.5,44.9,3.27,173.7,0.7
Kolkata,121.4,120.8,10.4,28.8,4.96,51.1,493.6
Bangalore,122.9,583.2,146.3,71.2,2.65,78.8,421.8
Delhi,315.2,354.9,45.6,84.6,6.81,28.8,230.7
Mumbai,97.0,302.5,148.8,32.9,1.8,141.4,106.1
Chennai,421.0,328.6,45.5,80.4,6.97,145.8,478.4
Kolkata,308.5,199.9,144.2,40.8,0.34,197.1,82.2
Bangalore,409.8,237.9,41.6,6.1,4.41,66.2,487.3
Delhi,226.8,103.0,100.6,56.6,9.29,118.8,53.6
Mumbai,232.9,102.6,113.4,8.7,9.66,82.5,278.9
Chennai,74.0,295.4,105.5,95.6,2.18,51.9,91.2
Kolkata,172.4,142.6,71.3,11.2,1.27,86.7,5.9
Bangalore,77.8,270.7,66.6,73.2,2.06,159.6,8.0
Delhi,316.8,209.1,100.0,11.2,3.37,4.4,29.9
Mumbai,308.7,415.3,97.4,29.6,4.86,87.9,15.9
Chennai,308.1,73.0,134.3,48.5,3.5,113.0,98.5
Kolkata,415.5,586.8,138.5,59.6,4.33,59.2,446.7
Bangalore,449.3,460.8,2.8,26.9,8.78,76.1,275.2
Delhi,439.9,495.3,93.8,79.3,9.87,119.7,450.2
Mumbai,144.3,120.8,58.2,95.9,5.15,63.6,435.5
Chennai,279.8,525.6,1.1,62.1,2.65,171.0,413.3
Kolkata,340.3,457.5,148.7,60.6,6.18,59.5,168.6
Bangalore,470.4,237.2,49.5,92.9,8.68,158.0,418.5
Delhi,59.0,239.1,118.4,90.7,0.1,191.8,467.8
Mumbai,126.2,470.0,71.4,71.7,9.13,59.2,457.6
Chennai,391.2,24.4,133.3,6.3,9.57,176.9,212.3
Kolkata,44.1,533.8,34.1,50.7,7.51,19.7,475.9
Bangalore,138.2,431.8,46.9,70.2,6.57,128.9,69.7
Delhi,15.9,408.7,33.6,12.3,9.49,25.7,265.3
Mumbai,11.4,261.5,70.2,21.0,7.79,104.0,387.8
Chennai,151.9,242.5,1.5,50.4,8.16,104.8,274.9
Kolkata,155.0,353.5,48.9,11.2,9.64,86.6,168.9
Bangalore,146.7,59.5,32.7,50.5,1.0,101.1,100.7
Delhi,33.1,568.6,145.7,13.5,2.65,89.5,361.0
Mumbai,260.6,450.2,1.6,14.5,6.09,46.0,72.4
Chennai,338.7,223.1,94.8,4.1,9.61,80.1,358.0
Kolkata,93.6,283.7,35.6,42.8,3.79,85.2,89.7
Bangalore,487.0,70.9,53.5,75.5,6.43,24.0,374.0
Delhi,67.7,597.1,34.8,13.3,5.05,48.5,481.7
Mumbai,429.8,345.4,50.2,35.3,4.27,127.1,229.4
Chennai,172.5,481.8,2.1,49.0,8.75,39.6,265.3
Kolkata,63.1,121.1,8.3,5.6,3.54,171.2,464.6
Bangalore,415.9,429.8,140.1,30.9,1.46,135.4,499.4
Delhi,283.3,260.2,12.5,91.3,1.88,167.1,240.1
Mumbai,400.7,50.6,105.4,27.0,0.04,70.9,159.3
Chennai,259.6,202.0,0.9,19.9,0.94,194.9,351.5
Kolkata,42.1,279.2,74.1,82.4,4.72,169.0,255.0
Bangalore,198.2,108.9,102.7,8.2,9.48,59.1,261.6
Delhi,378.5,185.2,129.2,98.7,6.57,81.2,257.4
Mumbai,310.7,276.4,41.5,44.2,6.74,175.1,113.0
Chennai,391.2,19.4,149.0,7.8,9.12,109.5,39.3
Kolkata,475.3,296.7,70.6,97.8,8.12,59.1,234.2
Bangalore,368.9,476.1,90.5,41.4,6.73,5.3,3.8
Delhi,486.5,401.3,1.0,63.0,2.88,171.9,439.8
Mumbai,408.4,375.4,72.6,23.2,2.2,67.5,423.4
Chennai,481.6,113.7,7.9,39.3,5.22,197.5,306.6
Kolkata,408.7,407.1,70.4,97.0,0.4,94.0,224.7
Bangalore,14.0,456.9,112.2,11.9,8.68,27.3,104.3
Delhi,176.7,498.0,98.2,95.7,7.15,100.2,102.0
Mumbai,358.0,290.4,102.0,62.5,5.01,104.3,290.0
Chennai,340.4,538.3,65.9,58.5,8.4,20.9,437.1
Kolkata,58.6,534.5,6.5,64.1,1.92,171.6,467.9
Bangalore,306.8,78.0,115.6,0.8,3.47,140.9,273.1
Delhi,187.7,42.5,4.3,60.7,1.87,172.3,374.5
Mumbai,478.8,359.8,50.3,39.4,2.52,61.1,132.0
Chennai,144.8,52.9,109.9,7.2,6.93,17.3,157.2
Kolkata,394.8,356.9,108.2,11.3,9.2,188.0,207.0
Bangalore,465.8,185.2,75.5,49.3,6.13,127.4,38.1
Delhi,3.5,506.4,146.1,81.4,3.92,53.8,192.3
Mumbai,70.9,86.1,15.5,22.8,2.19,56.6,86.5
Chennai,374.0,277.3,146.5,89.6,0.41,154.4,357.6
Kolkata,96.1,514.2,57.8,69.3,1.08,155.2,440.5
Bangalore,21.2,271.6,46.7,40.6,1.16,183.6,384.3
Delhi,403.8,423.9,41.3,68.2,8.67,135.0,126.7
Mumbai,131.2,368.1,80.9,37.5,6.61,40.1,10.8
Chennai,90.0,428.5,48.7,49.2,0.5,52.7,270.2
Kolkata,247.5,112.7,5.3,35.7,1.01,163.7,85.0
Bangalore,180.2,53.0,132.1,2.7,6.29,125.7,22.1
Delhi,157.5,365.1,57.5,37.0,4.1,139.6,362.2
Mumbai,476.7,360.1,148.5,48.4,8.41,160.9,440.9
Chennai,153.9,337.5,114.3,17.6,0.53,93.1,431.1
Kolkata,437.7,541.7,91.2,2.6,6.09,17.6,87.5
Bangalore,469.0,122.7,104.5,84.1,6.35,151.6,286.9
Delhi,188.3,442.6,82.8,3.6,0.53,37.1,288.8
Mumbai,420.7,186.9,45.8,12.5,4.81,185.8,86.1
Chennai,232.1,581.7,50.3,38.1,5.06,17.9,251.4
Kolkata,141.5,208.7,79.3,27.3,5.06,20.2,130.4
Bangalore,172.9,579.7,21.4,50.8,6.28,159.2,105.6
Delhi,397.3,457.0,100.4,76.0,7.67,2.7,148.4
Mumbai,353.4,178.3,79.3,23.1,4.61,181.1,130.4
Chennai,122.2,97.8,106.0,73.6,2.59,109.3,45.3
Kolkata,113.3,432.1,3.6,91.8,7.8,48.3,119.2
Bangalore,219.2,22.7,121.4,95.3,6.53,58.6,390.6
Delhi,336.2,576.0,6.6,96.1,4.15,165.4,260.0
Mumbai,52.5,410.4,61.3,18.0,3.19,198.3,147.6
Chennai,487.7,332.9,94.1,66.6,5.26,14.5,415.6
Kolkata,13.2,474.7,82.2,35.6,7.59,29.9,264.2
Bangalore,274.2,119.4,34.3,79.3,0.31,20.4,319.9
Delhi,125.9,443.0,120.4,30.5,4.44,91.4,225.8
Mumbai,50.4,334.5,94.8,93.6,0.89,59.9,312.3
Chennai,258.8,116.4,139.7,51.1,2.74,181.9,22.0
Kolkata,316.8,527.0,28.6,95.6,2.1,91.4,213.1
Bangalore,469.0,203.6,120.8,65.7,4.59,110.2,78.7
Delhi,67.1,557.4,141.9,58.0,5.7,4.3,260.7
Mumbai,373.7,173.1,78.5,93.8,2.88,64.8,95.2
Chennai,356.2,11.9,95.5,99.6,7.42,143.2,211.9
Kolkata,4.5,41.8,123.5,36.0,7.97,109.7,128.0
Bangalore,447.1,152.5,131.8,30.7,8.66,172.3,92.9
Delhi,122.3,457.2,46.7,95.0,0.77,127.3,44.1
Mumbai,174.8,500.3,116.3,83.5,1.61,103.3,130.6
Chennai,485.9,513.1,135.0,9.8,3.37,18.7,441.9
Kolkata,436.0,595.6,86.0,9.6,5.1,77.4,218.0
Bangalore,258.8,95.3,77.9,16.4,6.48,150.5,232.0
Delhi,485.5,128.0,103.7,6.5,1.14,133.6,337.9
Mumbai,481.7,472.6,92.2,39.2,5.35,133.2,248.6
Chennai,53.6,580.2,127.8,58.0,2.2,16.6,150.2
Kolkata,140.8,249.9,95.8,79.8,1.0,8.9,133.6
Bangalore,17.6,418.7,62.8,85.4,8.19,94.4,493.9
Delhi,405.9,355.9,88.1,87.6,6.87,109.2,489.9
Mumbai,466.3,497.0,12.5,41.2,9.37,83.4,470.9
Chennai,18.5,301.8,135.2,97.6,0.11,168.6,40.6
Kolkata,345.1,486.9,34.3,87.9,3.72,124.3,81.5
Bangalore,327.5,71.1,105.1,4.4,6.85,28.9,432.3
Delhi,4.2,172.2,0.9,91.0,2.99,36.4,447.5
Mumbai,310.5,197.1,126.3,76.9,6.77,156.1,87.4
Chennai,280.3,116.3,7.2,47.2,3.96,111.6,102.3
Kolkata,73.6,568.9,138.6,51.7,9.39,133.0,266.8
Bangalore,245.6,397.9,91.1,59.0,1.84,6.3,211.4
Delhi,334.2,286.2,139.7,14.9,2.99,76.3,266.8
Mumbai,44.3,385.8,1.3,35.8,1.2,71.8,108.9
Chennai,415.4,322.5,122.1,17.4,8.88,198.4,215.4
Kolkata,469.7,124.6,63.3,16.3,3.5,83.5,274.5
Bangalore,265.2,8.8,97.5,41.5,1.71,85.7,480.9
Delhi,292.7,5.6,110.9,49.8,4.79,55.2,40.7
Mumbai,229.6,71.9,116.6,87.5,0.43,38.9,469.0
Chennai,391.0,113.5,54.5,32.7,5.41,43.0,373.9
Kolkata,304.6,10.0,15.7,18.4,9.1,123.3,472.3
Bangalore,413.9,371.0,37.8,56.1,8.55,132.0,235.7
Delhi,413.1,254.3,44.4,39.5,5.08,28.9,365.4
Mumbai,415.4,72.9,19.3,88.4,8.19,194.0,95.5
Chennai,212.3,11.5,1.7,12.1,6.44,64.9,118.3
Kolkata,439.2,345.4,5.5,84.5,3.03,177.7,409.8
Bangalore,76.2,253.1,88.6,46.3,4.31,79.7,377.2
Delhi,172.9,328.3,28.6,85.2,8.51,189.5,37.6
Mumbai,477.3,171.5,121.4,45.2,5.81,50.7,139.7
Chennai,301.3,302.1,81.7,14.1,4.91,136.9,97.2
Kolkata,218.2,15.7,92.3,43.6,9.91,118.7,62.8
Bangalore,73.8,57.2,37.9,47.3,1.48,86.3,6.0
Delhi,23.8,436.9,88.6,71.2,0.46,144.9,52.3
Mumbai,352.0,426.6,20.6,47.3,6.37,135.9,435.7
Chennai,452.7,182.3,65.3,81.4,2.14,192.0,62.2
Kolkata,417.5,404.5,67.2,89.3,0.15,104.3,235.0
Bangalore,56.8,201.4,121.0,20.6,9.2,48.5,93.3
Delhi,207.1,288.6,66.6,71.2,0.73,51.0,261.6
Mumbai,104.9,592.0,43.0,49.4,1.28,9.3,236.4
Chennai,170.4,223.5,72.9,32.6,2.97,24.0,343.3
Kolkata,332.8,347.2,117.4,43.8,3.04,147.0,456.4
Bangalore,375.1,280.7,115.6,4.0,2.47,71.1,173.3
Delhi,21.0,132.5,105.3,26.8,1.86,18.6,311.0
Mumbai,457.6,131.8,84.8,28.6,7.64,119.0,399.2
Chennai,280.6,536.1,12.9,72.1,6.04,172.8,312.7
Kolkata,138.5,201.9,103.3,45.0,0.15,166.9,358.7
Bangalore,287.3,346.6,114.7,52.6,4.48,140.8,205.0
Delhi,476.6,581.6,73.0,29.9,6.1,106.4,326.7
Mumbai,263.0,44.0,4.4,35.1,4.9,129.1,489.2
Chennai,7.6,584.2,71.9,69.7,0.85,29.0,164.2
Kolkata,161.0,105.8,67.7,0.8,7.06,17.3,38.1
Bangalore,270.0,331.6,4.6,63.3,9.34,174.6,64.4
Delhi,262.9,178.7,34.7,2.5,1.08,142.6,437.3
Mumbai,183.3,50.4,56.6,69.3,9.44,192.2,352.7
Chennai,99.7,576.2,46.4,61.3,5.14,46.8,474.7
Kolkata,162.9,266.0,2.2,47.6,5.95,17.5,295.8
Bangalore,419.1,43.5,35.5,22.3,4.99,40.9,440.1
Delhi,87.9,210.8,149.5,34.9,6.64,72.4,26.7
Mumbai,221.3,155.1,120.6,7.0,4.03,33.9,493.6
Chennai,79.8,225.9,138.9,2.5,4.21,151.7,496.7
Kolkata,265.3,229.5,78.7,57.7,8.29,91.6,306.8
Bangalore,127.8,526.8,134.0,91.1,1.79,14.8,367.5
Delhi,416.1,398.4,127.7,8.0,3.24,27.4,413.9
Mumbai,212.7,132.7,47.0,29.7,5.09,30.9,300.9
Chennai,414.9,99.5,111.2,69.7,3.25,164.7,209.8
Kolkata,458.1,277.6,62.8,79.6,6.46,55.0,453.4
Bangalore,318.1,363.3,121.0,66.8,7.97,172.9,355.9
Delhi,64.2,531.8,50.7,7.3,1.17,122.4,205.5
Mumbai,9.8,449.1,84.1,76.3,5.65,134.8,44.8
Chennai,262.6,479.1,63.7,47.1,8.74,105.0,426.9
Kolkata,142.6,47.3,24.0,61.5,4.38,189.9,486.9
Bangalore,98.7,170.3,102.2,98.6,1.24,72.7,330.6
Delhi,381.0,226.1,137.1,88.5,8.28,134.2,493.5
Mumbai,160.2,138.2,54.7,37.0,3.87,34.6,299.8
Chennai,366.0,213.6,54.6,7.2,0.62,109.7,142.1
Kolkata,90.9,239.9,69.9,3.8,4.36,57.3,14.4
Bangalore,308.9,324.1,77.5,91.4,5.28,124.7,75.0
Delhi,389.3,412.5,85.3,60.6,9.15,41.6,9.8
Mumbai,237.0,430.7,124.9,9.2,6.29,9.7,295.7
Chennai,232.9,298.4,131.6,11.5,7.89,29.0,79.6
Kolkata,430.0,584.0,5.4,49.1,1.74,98.0,85.7
Bangalore,148.2,233.0,70.1,77.6,2.2,46.2,52.2
Delhi,65.4,70.3,43.2,30.2,4.59,31.9,118.1
Mumbai,164.8,289.7,136.1,89.7,6.53,84.1,334.3
Chennai,482.4,466.1,69.7,32.4,0.16,19.9,182.1
Kolkata,483.9,302.3,54.9,4.2,3.97,65.7,482.7
Bangalore,63.0,58.1,61.6,6.0,8.63,86.4,274.3
Delhi,355.9,417.6,5.5,22.2,0.31,140.9,464.4
Mumbai,167.1,230.3,14.0,51.8,9.34,9.7,488.4
Chennai,262.1,104.6,82.5,52.5,8.58,52.8,152.5
Kolkata,319.1,446.7,72.9,58.2,7.33,171.9,157.2
Bangalore,475.1,186.4,15.7,99.3,5.58,137.5,125.1
Delhi,252.3,553.2,11.2,82.4,0.78,7.8,208.6
Mumbai,234.0,137.0,65.1,1.0,4.87,60.6,182.3
Chennai,151.2,166.2,83.2,28.9,7.07,111.6,71.1
Kolkata,356.3,268.1,91.2,35.6,4.37,101.0,334.6
Bangalore,355.2,376.8,91.9,52.0,2.71,31.8,340.5
Delhi,450.2,576.9,74.7,81.9,7.77,163.1,456.4
Mumbai,215.8,263.0,99.4,47.9,0.99,19.6,144.6
Chennai,323.6,227.0,116.0,54.4,0.39,69.9,343.2
Kolkata,350.5,239.0,20.9,46.0,8.29,198.4,53.2
Bangalore,460.0,531.0,40.0,46.6,3.97,58.9,290.1
Delhi,318.0,329.0,64.2,5.8,1.94,60.0,16.1
Mumbai,137.2,412.1,64.0,11.7,0.4,112.9,31.3
Chennai,240.8,445.2,106.7,28.2,8.55,115.8,232.3
Kolkata,177.0,301.5,7.0,39.1,8.92,47.4,40.3
Bangalore,345.0,217.8,115.1,32.2,1.17,174.7,110.2
Delhi,121.9,212.9,49.6,9.6,0.08,178.5,412.8
Mumbai,142.5,131.4,58.6,51.2,3.63,136.9,385.8
Chennai,484.5,537.8,142.2,59.6,1.98,101.6,120.8
Kolkata,398.8,548.3,5.9,80.2,4.36,73.9,393.7
Bangalore,438.0,510.7,43.7,23.8,3.85,30.4,253.4
Delhi,190.3,388.7,75.4,28.6,1.79,34.3,136.1
Mumbai,73.7,424.3,51.7,0.9,6.15,55.8,247.3
Chennai,244.2,63.0,108.1,54.0,2.78,177.8,229.0
Kolkata,434.1,431.8,117.4,28.8,9.85,106.7,314.5
Bangalore,353.4,176.1,109.3,5.8,4.88,51.5,362.5
Delhi,318.1,553.9,62.7,62.8,7.9,166.5,305.5
Mumbai,384.0,454.2,145.4,86.8,6.99,68.6,156.0
Chennai,60.7,418.2,38.1,0.9,4.79,118.6,337.3
Kolkata,415.9,313.2,18.7,15.7,0.62,7.8,65.5
Bangalore,159.9,326.1,33.0,27.4,8.86,139.6,13.2
Delhi,199.8,131.5,148.8,40.6,1.49,77.0,286.3
Mumbai,333.4,167.8,55.6,25.7,4.94,14.5,18.8
Chennai,403.2,152.7,97.2,24.8,0.74,141.0,189.6
Kolkata,149.5,572.0,68.0,99.4,0.91,162.4,237.2
Bangalore,39.4,414.2,35.7,31.8,6.17,96.6,95.9
Delhi,169.2,458.8,47.3,5.3,5.76,39.1,110.8
Mumbai,258.2,547.7,131.4,28.2,6.35,3.2,161.3
Chennai,214.2,378.4,53.1,53.8,3.45,102.2,464.3
Kolkata,331.7,525.7,80.4,8.7,2.38,48.1,393.7
Bangalore,448.5,581.4,60.2,13.7,0.18,44.3,227.2
Delhi,92.3,572.9,87.6,84.7,5.96,113.8,465.8
Mumbai,391.7,35.4,109.4,50.9,8.05,95.8,440.4
Chennai,168.2,328.7,81.3,42.1,2.64,72.4,151.7
Kolkata,156.5,311.4,48.4,3.1,5.18,63.7,92.5
Bangalore,356.0,523.7,125.4,63.9,1.17,75.1,492.4
Delhi,60.5,74.8,55.4,79.0,1.28,168.7,335.7
Mumbai,329.3,138.3,143.7,68.2,4.18,121.1,119.2
Chennai,43.6,547.5,3.4,82.6,9.88,157.3,182.1
Kolkata,80.7,33.4,149.3,86.8,0.03,36.0,442.5
Bangalore,463.2,535.2,121.0,33.7,0.31,149.2,160.5
Delhi,109.0,169.7,88.7,54.7,4.54,147.9,295.8
Mumbai,77.9,422.0,27.5,23.7,3.5,36.7,491.4
Chennai,496.5,503.7,36.8,75.5,5.63,171.7,54.0
Kolkata,389.3,297.3,93.9,43.4,6.81,19.7,283.9
Bangalore,234.1,286.6,66.1,93.3,8.78,45.0,408.3
Delhi,382.8,305.1,149.4,89.7,5.45,145.9,353.7
Mumbai,193.3,169.2,68.3,17.7,1.63,133.9,373.9
Chennai,400.7,96.5,33.1,47.4,4.49,173.1,489.1
Kolkata,304.6,476.8,39.0,77.4,1.37,11.9,195.5
Bangalore,320.5,471.2,100.4,64.8,0.47,154.7,464.8
Delhi,343.1,439.0,141.3,55.8,9.66,18.8,108.5
Mumbai,152.2,279.8,57.1,57.3,7.21,72.6,462.3
Chennai,5.1,284.9,15.0,90.0,1.32,28.2,61.1
Kolkata,488.9,330.8,21.1,33.9,9.15,167.3,72.2
Bangalore,197.2,61.7,13.7,25.7,9.96,172.7,123.4
Delhi,154.6,531.1,53.0,76.5,2.57,62.9,142.4
Mumbai,123.9,256.6,4.5,10.6,2.38,94.3,472.2
Chennai,492.9,169.5,122.5,84.5,7.83,64.8,171.8
Kolkata,469.0,464.8,115.5,59.9,6.14,119.2,288.6
Bangalore,147.2,33.3,59.6,57.5,0.39,126.9,225.8
Delhi,104.3,431.4,105.2,84.6,2.37,12.1,19.2
Mumbai,70.6,413.3,143.9,84.9,7.68,38.0,224.8
Chennai,377.8,358.0,64.2,69.0,3.52,165.1,179.9
Kolkata,281.9,195.1,19.2,57.6,5.26,181.8,481.8
Bangalore,196.7,278.3,44.4,25.0,6.02,108.7,12.5
Delhi,267.4,418.6,134.9,29.5,5.79,167.7,103.7
Mumbai,479.4,391.2,75.5,51.5,8.97,147.3,365.9
Chennai,488.9,84.8,130.0,32.0,9.65,83.8,366.1
Kolkata,392.9,65.3,148.0,14.8,4.06,128.3,373.9
Bangalore,217.6,545.8,144.5,5.4,6.82,120.2,275.8
Delhi,217.0,150.5,94.6,49.2,3.37,112.6,497.7
Mumbai,457.2,112.0,73.1,98.6,9.06,127.6,442.2
Chennai,385.5,188.1,55.6,14.8,4.87,30.8,442.4
Kolkata,480.4,577.8,76.7,82.5,7.17,167.0,158.1
Bangalore,33.5,391.5,8.0,51.1,9.8,132.4,425.8
Delhi,341.0,103.3,134.5,72.7,8.73,50.8,172.7
Mumbai,234.6,117.5,148.9,59.8,3.61,117.1,174.2
Chennai,441.8,107.4,37.5,56.8,5.91,132.3,369.9
Kolkata,50.2,592.4,28.5,52.5,5.59,74.0,211.5
Bangalore,72.3,384.2,100.8,47.3,6.22,198.9,204.0
Delhi,186.3,353.5,35.7,43.2,4.94,172.5,68.1
Mumbai,6.2,545.5,104.4,62.1,8.27,90.0,386.4
Chennai,80.0,550.9,124.3,4.7,7.84,111.7,492.1
Kolkata,340.5,597.9,92.0,61.9,8.26,8.6,453.3
Bangalore,314.7,280.0,93.2,14.4,5.68,177.3,10.2
Delhi,454.9,369.8,142.0,36.1,2.34,4.7,368.9
Mumbai,191.9,322.1,142.2,17.7,4.05,63.8,166.8
Chennai,460.5,155.6,79.7,41.7,6.53,21.7,457.5
Kolkata,381.5,468.1,46.3,36.3,1.81,128.7,173.5
Bangalore,362.7,110.1,83.8,55.8,8.65,197.9,498.0
Delhi,59.5,293.3,145.1,27.4,5.14,62.6,20.8
Mumbai,151.0,223.6,12.7,40.3,9.68,196.1,111.1
Chennai,70.7,175.8,71.3,1.4,7.44,42.0,443.5
Kolkata,145.5,260.6,117.2,33.8,8.94,92.7,457.2
Bangalore,361.6,470.5,141.8,92.3,6.89,95.9,472.6
Delhi,392.8,507.7,132.2,5.9,2.96,43.5,246.4
Mumbai,310.2,270.7,38.7,94.2,7.8,110.7,101.4
Chennai,462.4,438.2,63.4,17.9,5.4,91.0,438.7
Kolkata,455.4,196.5,76.0,14.9,3.32,165.0,359.3
Bangalore,5.3,306.2,78.5,65.6,2.85,157.4,246.5
Delhi,351.1,45.8,147.7,82.6,8.38,107.6,376.3
Mumbai,428.5,291.7,2.0,70.7,7.41,46.1,63.4
Chennai,68.9,239.9,16.3,6.7,0.66,113.6,320.3
Kolkata,419.2,128.7,115.5,89.5,3.8,104.7,321.1
Bangalore,156.2,558.5,8.3,90.2,8.97,136.9,183.3
Delhi,134.0,114.7,96.8,92.0,2.91,174.9,176.3
Mumbai,184.7,444.8,29.4,20.9,6.28,112.2,243.9
Chennai,80.9,525.4,118.7,39.7,2.04,99.4,389.9
Kolkata,493.1,371.7,110.6,2.3,2.87,33.1,154.1
Bangalore,496.9,129.7,58.1,33.6,2.46,16.9,316.6
Delhi,130.0,235.0,4.6,60.5,3.19,189.6,74.1
Mumbai,375.8,253.9,62.5,76.1,5.35,125.7,74.5
Chennai,416.8,378.7,85.4,26.1,3.23,117.5,280.4
Kolkata,145.0,564.4,115.8,40.6,8.93,54.8,277.6
Bangalore,60.6,186.0,59.1,48.5,1.03,102.2,391.4
Delhi,429.2,20.0,45.4,93.0,7.73,67.2,467.3
Mumbai,430.9,40.1,20.1,83.8,5.64,41.6,376.4
Chennai,345.9,333.4,88.1,84.3,4.97,105.2,216.5
Kolkata,380.3,446.7,138.3,42.6,6.67,152.2,357.2
Bangalore,50.0,60.8,3.3,45.1,1.86,44.0,486.2
Delhi,155.4,358.4,62.8,9.7,0.82,89.1,436.1
Mumbai,43.5,458.1,99.6,72.3,4.99,58.1,90.3
Chennai,383.0,424.2,72.9,91.1,9.96,151.3,142.2
Kolkata,207.1,165.5,94.7,14.8,7.92,23.3,100.9
Bangalore,493.3,567.3,8.9,57.4,2.08,85.2,157.5
Delhi,348.1,361.7,139.4,60.5,1.82,67.7,42.4
Mumbai,427.8,106.6,39.8,12.3,8.64,193.4,490.5
Chennai,171.4,463.6,23.0,34.5,8.02,44.9,235.2
Kolkata,31.5,362.1,73.8,33.7,7.03,61.5,477.9
Bangalore,220.7,322.2,58.4,58.6,6.57,123.4,289.5
Delhi,441.6,289.1,131.6,54.3,3.31,185.5,403.6
Mumbai,467.9,580.5,70.4,62.3,6.29,196.1,426.5
Chennai,386.2,10.8,35.0,72.1,4.5,171.0,195.5
Kolkata,243.7,92.3,70.5,64.6,0.79,37.3,256.2
Bangalore,112.7,466.3,100.2,99.6,5.25,33.1,31.3
Delhi,134.6,542.3,94.3,36.9,4.72,102.4,280.8
Mumbai,73.5,582.4,148.6,32.3,6.06,195.1,225.9
Chennai,476.8,580.7,18.9,58.6,8.97,138.1,338.2
Kolkata,62.6,449.5,52.2,89.2,6.67,197.1,446.3
Bangalore,246.6,489.0,139.9,13.5,7.54,133.1,360.9
Delhi,102.7,348.6,130.1,91.3,4.24,151.7,295.2
Mumbai,281.8,267.7,70.0,98.9,9.58,85.0,431.5
Chennai,484.7,500.7,125.4,73.3,0.79,10.0,342.6
Kolkata,127.1,11.7,29.0,7.8,6.31,175.9,111.0
Bangalore,17.5,395.7,143.2,1.0,9.41,69.0,84.1
Delhi,117.6,424.2,83.7,70.2,8.62,18.7,104.5
Mumbai,443.6,143.4,67.0,49.2,2.27,32.9,316.9
Chennai,87.8,113.8,13.3,14.1,4.28,28.0,314.9
Kolkata,323.9,537.1,24.6,17.0,7.58,115.7,207.3
Bangalore,174.8,205.0,103.5,54.4,4.56,193.1,440.6
Delhi,301.5,144.0,55.6,60.7,3.54,61.7,216.1
Mumbai,133.8,364.7,13.2,57.8,4.01,194.0,225.6
Chennai,329.6,107.5,133.1,26.9,0.14,119.0,143.8
Kolkata,488.6,208.1,96.9,30.9,1.21,82.0,215.9
Bangalore,24.7,417.5,149.7,82.5,1.61,120.8,81.5
Delhi,439.1,540.0,68.6,93.0,6.0,134.5,271.9
Mumbai,325.7,593.6,72.1,77.9,4.41,148.4,373.6
Chennai,156.6,237.5,6.3,85.7,9.38,87.7,406.2
Kolkata,442.5,9.8,130.6,27.8,6.55,128.0,284.6
Bangalore,331.9,16.8,118.1,30.2,2.06,20.4,299.1
Delhi,437.8,293.9,47.2,41.0,2.92,19.5,34.5
Mumbai,52.3,271.9,119.8,22.6,1.1,38.9,276.0
Chennai,221.5,146.3,149.0,64.7,4.23,127.3,52.5
Kolkata,236.3,56.8,43.5,46.7,2.37,0.0,223.5
